Feature,CSV_Feature_Index,Electrode,Region,Lobe,Hemisphere,Scalp,Feature_Type
Hjorth_Activity_3,61,P3,Parietal,Parietal,Left,Left parietal scalp,Hjorth_Activity
Hjorth_Mobility_3,62,P3,Parietal,Parietal,Left,Left parietal scalp,Hjorth_Mobility
Hjorth_Complexity_3,63,P3,Parietal,Parietal,Left,Left parietal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_4,64,O1,Occipital,Occipital,Left,Left occipital scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_4,65,O1,Occipital,Occipital,Left,Left occipital scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_4,66,O1,Occipital,Occipital,Left,Left occipital scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_4,67,O1,Occipital,Occipital,Left,Left occipital scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_4,68,O1,Occipital,Occipital,Left,Left occipital scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_4,69,O1,Occipital,Occipital,Left,Left occipital scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_4,70,O1,Occipital,Occipital,Left,Left occipital scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_4,71,O1,Occipital,Occipital,Left,Left occipital scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_4,72,O1,Occipital,Occipital,Left,Left occipital scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_4,73,O1,Occipital,Occipital,Left,Left occipital scalp,Delta_Band_psd_variance
Fractal_Dimension_4,74,O1,Occipital,Occipital,Left,Left occipital scalp,Fractal_Dimension
Wavelet_Energy_4,75,O1,Occipital,Occipital,Left,Left occipital scalp,Wavelet_Energy
Spectral_Entropy_4,76,O1,Occipital,Occipital,Left,Left occipital scalp,Spectral_Entropy
Hjorth_Activity_4,77,O1,Occipital,Occipital,Left,Left occipital scalp,Hjorth_Activity
Hjorth_Mobility_4,78,O1,Occipital,Occipital,Left,Left occipital scalp,Hjorth_Mobility
Hjorth_Complexity_4,79,O1,Occipital,Occipital,Left,Left occipital scalp,Hjorth_Complexity
Alpha_Band_psd_mean_5,80,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_5,81,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_5,82,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_5,83,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_5,84,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_5,85,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_5,86,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_5,87,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_5,88,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_5,89,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Delta_Band_psd_variance
Fractal_Dimension_5,90,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Fractal_Dimension
Wavelet_Energy_5,91,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Wavelet_Energy
Spectral_Entropy_5,92,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Spectral_Entropy
Hjorth_Activity_5,93,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Hjorth_Activity
Hjorth_Mobility_5,94,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Hjorth_Mobility
Hjorth_Complexity_5,95,F7,Fronto-temporal,Frontal,Left,Left fronto-temporal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_6,96,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_6,97,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_6,98,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_6,99,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_6,100,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_6,101,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_6,102,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_6,103,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_6,104,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_6,105,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Delta_Band_psd_variance
Fractal_Dimension_6,106,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Fractal_Dimension
Wavelet_Energy_6,107,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Wavelet_Energy
Spectral_Entropy_6,108,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Spectral_Entropy
Hjorth_Activity_6,109,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Hjorth_Activity
Hjorth_Mobility_6,110,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Hjorth_Mobility
Hjorth_Complexity_6,111,T3,Temporal,Temporal,Left,Left mid-temporal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_7,112,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_7,113,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_7,114,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_7,115,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_7,116,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_7,117,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_7,118,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_7,119,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_7,120,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_7,121,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Delta_Band_psd_variance
Fractal_Dimension_7,122,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Fractal_Dimension
Wavelet_Energy_7,123,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Wavelet_Energy
Spectral_Entropy_7,124,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Spectral_Entropy
Hjorth_Activity_7,125,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Hjorth_Activity
Hjorth_Mobility_7,126,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Hjorth_Mobility
Hjorth_Complexity_7,127,T5,Temporo-parietal,Temporal,Left,Left posterior temporal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_8,128,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_8,129,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_8,130,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_8,131,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_8,132,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_8,133,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_8,134,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_8,135,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_8,136,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_8,137,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Delta_Band_psd_variance
Fractal_Dimension_8,138,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Fractal_Dimension
Wavelet_Energy_8,139,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Wavelet_Energy
Spectral_Entropy_8,140,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Spectral_Entropy
Hjorth_Activity_8,141,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Hjorth_Activity
Hjorth_Mobility_8,142,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Hjorth_Mobility
Hjorth_Complexity_8,143,Fp2,Prefrontal,Frontal,Right,Right prefrontal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_9,144,F4,Frontal,Frontal,Right,Right frontal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_9,145,F4,Frontal,Frontal,Right,Right frontal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_9,146,F4,Frontal,Frontal,Right,Right frontal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_9,147,F4,Frontal,Frontal,Right,Right frontal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_9,148,F4,Frontal,Frontal,Right,Right frontal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_9,149,F4,Frontal,Frontal,Right,Right frontal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_9,150,F4,Frontal,Frontal,Right,Right frontal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_9,151,F4,Frontal,Frontal,Right,Right frontal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_9,152,F4,Frontal,Frontal,Right,Right frontal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_9,153,F4,Frontal,Frontal,Right,Right frontal scalp,Delta_Band_psd_variance
Fractal_Dimension_9,154,F4,Frontal,Frontal,Right,Right frontal scalp,Fractal_Dimension
Wavelet_Energy_9,155,F4,Frontal,Frontal,Right,Right frontal scalp,Wavelet_Energy
Spectral_Entropy_9,156,F4,Frontal,Frontal,Right,Right frontal scalp,Spectral_Entropy
Hjorth_Activity_9,157,F4,Frontal,Frontal,Right,Right frontal scalp,Hjorth_Activity
